name;description;category;tags;creationyear;address;postcode;city;geo_point_2d;url;twitter;googleplus;facebook
Références BTP;Références BTP est le site d'évaluation de la qualité de travail des entreprises de construction. Ce sont les architectes, maîtres d'oeuvre et maîtres d'ouvrages qui évaluent au travers d'un questionnaire en ligne les entreprises de leur chantier;Entreprise;;2013;36 rue de Fontarabie 75020 Paris;;;48.857783354, 2.402730613;http://www.refbtp.fr/;refbtp;https://plus.google.com/u/0/b/117158255906892274688;
IP-Label;IP-Label mesure la qualité des applications web en privilégiant un point de vue utilisateur et en offrant des solutions pour superviser leur performance et leur disponibilité.;Entreprise;"mesure;supervision";1983;90 boulevard National;92250;La Garenne Colombes;48.908321, 2.23769;http://www.ip-label.com;iplabel;;
Octave & Octave;Octave & Octave est une agence digitale qui allie design créatif et innovation technologique pour concevoir et créer des applications web et mobiles.;Prestataire;design;2008;38 rue des Blancs Manteaux;75004;Paris;48.859638, 2.3553;http://www.octaveoctave.com;OctaveOctave;;https://www.facebook.com/octaveoctave
M8;;Entreprise;ocds;1999;Magellan, 7 rue Montespan;91024;Evry Cedex;48.5220965, 2.43103503075;http://www.m8.fr;;;
Pinpin Team;Pinpin Team est un studio de développement de jeux vidéos pour le mobile et le web.;Entreprise;"jeu;studio";2008;110 rue des Poissonniers;75018;Paris;48.893959, 2.35278;http://www.pinpinteam.com;PinpinTeam;;https://www.facebook.com/pinpinteam
Card.biz;Outils en ligne de création d'annuaires, trombinoscopes et organigrammes. Card.biz est un service pour les managers, les spécialistes des ressources humaines et tous ceux qui ont besoin de partager des informations simples et utiles.;Entreprise;;2010;46 rue St Anne 75003 Paris;;;48.867445057, 2.33611502;http://card.biz;card_biz;;https://www.facebook.com/wwwcardbiz
Optiflows;OPTIFLOWS, est un éditeur de logiciels qui intervient dans le domaine de la convergence IT/TELECOM.;Entreprise;;2011;141 avenue de Verdun;92130;Issy Le Moulineaux;48.8183119, 2.252269;http://www.optiflows.com;;;
Eversim;Eversim est spécialisée dans la création et le développement de jeux fonctionnant en réseau et en univers persistant.;Entreprise;jeu;;13 place des Libertés Publiques;77185;Lognes;48.837212, 2.63079;http://www.eversim.com;;;
Virtualdive;Virtualdive propose un nouveau mode de création, d'édition collaborative et de diffusion multi-supports d'applications interactives dédiées au monde subaquatique.;Entreprise;"subaquatique;console";;57 Grande Rue;78630;Morainvilliers;48.928505, 1.934825;http://www.virtualdive.com;;;
Structure Computation;Structure Computation, propose une offre radicalement innovante en calcul de structures destinée aux bureaux d'études en conception mécanique.;Entreprise;"opensource;ocds";2009;86 rue de Paris;91400;Orsay;48.6962109, 2.1946309;http://www.structure-computation.com;;;
Thales;;Entreprise;;1975;45, rue Villiers;92200;Neuilly-Sur-Seine;48.8897026, 2.2799024;http://www.thalesgroup.com;;;
Omnes Capital;Spécialiste du capital investissement, Omnes Capital participe directement au financement de l’économie en apportant aux entreprises les fonds propres nécessaires à leur développement.;Investisseur;venturecapitalist;;37 rue du Rocher;75008;Paris;48.877522, 2.32089;http://www.omnescapital.com;;;
Civiliz;Civiliz est une application mobile pour commenter tous les lieux de la vie quotidienne : ceux qu'on voudrait améliorer ou ceux que l'on aime et qu'on a envie de faire connaître.;Entreprise;"mobile;recommandation;avis";2010;105 rue Voltaire;92800;Puteaux;48.88051, 2.242993;http://www.civiliz.fr;Civiliz;;https://www.facebook.com/civiliz
Testapic;Testapic est spécialisée dans les tests utilisateurs à distance et propose aux internautes des tests rémunérés dans le but d'améliorer l'ergonomie et l'expérience utilisateur sur les sites web testés.;Entreprise;"test;utilisateur;ergonomie";2010;36 boulevard de Sébastopol;75004;Paris;48.861491975, 2.349901466;http://www.testapic.com;testapic;;https://www.facebook.com/testapic
Openways SAS;OpenWay is a global solution provider of mobile-based access-management and security solution;Entreprise;;2009;6 Le Prieuré;78810;Feucherolles;48.8786076, 1.9816556;http://www.openways.com/;;;
Infinit;Infinit est une application P2P de partage de fichiers à mi-chemin entre Dropbox et Bittorrent.;Entreprise;"fichiers;P2P";2012;63 boulevard Masséna;75013;Paris;48.822071, 2.37092;http://www.infinit.io;infinitdotio;https://plus.google.com/103816682609525959263;https://www.facebook.com/infinitdotio
Adacore;AdaCore est la société qui fournit des services de support technique et de conseil autour de GNAT, le compilateur Ada libre du projet GNU. AdaCore est également le principal développeur de GNAT.;Entreprise;"opensource;ocds";1996;46 rue d'Amsterdam;75009;Paris;48.8784971, 2.3270581;http://www.adacore.com;;;
HUB Institute;Véritable « Digital Think Tank », HUB Institute accompagne les entreprises en matière de pilotage stratégique du digital en France et à l’international via la formation, le conseil et ses évènements HubForum & InnovationWeek;Prestataire;;2012;51 rue François 1er;75008;Paris;48.869564389, 2.302164567;http://www.hubinstitute.com;hubinstitute;https://plus.google.com/u/0/113290196321672062897/;https://www.facebook.com/HUBInstitute
Vulnit;VULNIT crée un logiciel permettant aux entreprises de tester automatiquement la protection de leurs données confidentielles et de mettre en oeuvre un processus d’amélioration de leur sécurité informatique.;Entreprise;securite;2009;75 avenue Victor Hugo;92500;Rueil-Malmaison;48.8854507, 2.1765256;http://www.vulnit.com/fr/;;;
dee&be;dee&bee est une société de haute technologie qui s'est donnée pour mission de libérer l'expérience télévisuelle.;Entreprise;"television;iptv;equipement";;17 avenue d'Italie;75013;Paris;48.829127, 2.356424;http://www.deenbe.com;;https://plus.google.com/100706403747132149115;
Académie des Technologies;L’Académie des Technologies a pour vocation d'émettre des propositions et des recommandations auprès des pouvoirs publics et des acteurs socio-économiques pour une meilleure exploitation des technologies au service de l'homme.;Acteur public;"recherche;academie;technologies";2000;Avenue Franklin D. Roosevelt;75008;Paris;48.864944, 2.310285;http://www.academie-technologies.fr;;https://plus.google.com/109615914757422944025;
All Together;All Together est un réseau social de partage d'activités de loisirs en réel.;Entreprise;"reseausocial;loisirs;ingenierie";2012;17 rue Raymond Queneau;92500;Rueil-Malmaison;48.89254, 2.16894;http://www.all-together.net;AllTogetherNet;https://plus.google.com/103028441603721567999;http://facebook.com/AllTogether
ERCOM;ERCOM, leader dans la conception et la fabrication de solutions innovantes destinées au test, à la mesure et à la sécurisation des réseaux de télécommunication (validation des systèmes de réseaux 4G et solutions de communication sécurisées).;Entreprise;securite;1986;6 rue Dewoitine;78140;Velizy-Villacoublay;48.7824778, 2.2156632;http://www.ercom.fr;;;
NIT;New Imaging Technologies SAS développe et commercialise des capteurs d'image CMOS intelligents performants et efficaces pour les applications vidéo surveillance, automobiles, industrielles et grand public.;Entreprise;"transport;securite";2007;1-4 Impasse de La Noisette, Bat D, 1er Etage;91370;Verrières-Le-Buisson;48.746318, 2.266838;http://www.new-imaging-technologies.com;;;
Les joyeux recycleurs;« Les joyeux recycleurs » est une entreprise qui a pour mission d’améliorer le recyclage des déchets ménagers et de bureaux en apportant des solutions d'information et des solutions de collecte.;Entreprise;;2013;23 rue Condorcet;75009;Paris;48.879742851, 2.345453063;http://www.lesjoyeuxrecycleurs.com;Lesjoyeuxrecycl;https://plus.google.com/u/0/b/112808647745108422818/112808647745108422818/about;https://www.facebook.com/lesjoyeuxrecycleurs/info
Ardans;Ardans est un cabinet de conseil spécialisé dans la gestion des connaissances au sein des organisations.;Prestataire;KM;1999;6 rue Jean-Pierre Timbaud;78180;Montigny le Bretonneux;48.792641, 2.03611;http://www.ardans.fr;ardanssas;;
EDF Commerce;;Entreprise;;;Tour EDF- 20 place de la Défense;92050;Paris;48.8911091, 2.2414007;;;;
Lydia;Lydia est une solution de portefeuille mobile pour le paiement et l'encaissement.;Entreprise;"portefeuille;mobile";2011;13 boulevard de Rochechouart;75009;Paris;48.883362, 2.34782;http://www.lydia-app.com;applydia;;https://www.facebook.com/lydiaapp
Food Reporter;Food Reporter est un réseau social culinaire qui permet de photographier et de partager ce que vous mangez au restaurant et à la maison.;Entreprise;"reseausocial;cuisine";2011;23 rue d'Edimbourg;75008;Paris;48.879334, 2.319618;http://www.foodreporter.fr;food_reporter;https://plus.google.com/111002965908793500270;https://www.facebook.com/FoodReporter
SensCritique;SensCritique est un réseau social qui vous permet d'organiser et de partager vos avis culturels.;Entreprise;"reseausocial;culture;avis";2011;49 rue du Faubourg Poissonnière;75010;Paris;48.87434, 2.34797;http://www.senscritique.com;senscritique;;https://www.facebook.com/senscritique
Faar Industry;ingénierie spécialisée dans le développement, la mise au point et la production de systèmes électroniques de contrôle embarqués dans les véhicules automobiles.;Entreprise;transport;2004;Parc du Moulin de Massy, 43 rue du Saule Trapu;91300;Massy;48.729062, 2.3005729;http://www.faar-industry.com;;;
Martec;L’expertise et le savoir-faire du Groupe Martec s’exercent à travers la mesure, l’acquisition, la transmission et la supervision de données de toute nature en environnement sévère.;Entreprise;"transport;securite;telecoms";1977;29 avenue de La Baltique, ZA Courtaboeuf;91953;Les-Ulis;48.6792779, 2.16647;http://www.martec.fr;;;
Montimage;Montimage apporte des solutions complètes à ses clients dans la conception, le test et la surveillance des protocoles de communication et des systèmes complexes qui exigent un grand nombre de composants hautement distribués et tolérants aux pannes.;Entreprise;"securite;ocds;telecoms";2004;39 rue Bobillot;75013;Paris;48.8286519, 2.3534908;http://www.montimage.com;;;
Linagora;Linagora est un éditeur de logiciels de communication et de collaboration opensource qui propose également une gamme de services professionnels, de formations et de conseil.;Prestataire;opensource;2000;80 rue Roque de Fillol;92800;Puteaux;48.88517, 2.2447;http://www.linagora.com;linagora;https://plus.google.com/110831155962387402340;https://www.facebook.com/Linagora
HETIC;HETIC (Hautes Etudes des Technologies de l'Information et de la Communication) est une école des métiers de l'internet qui propose un formation polyvalente croisant e-création, e-technologie et e-business.;École;"creation;technologie;business";2003;27 bis rue du progrès;93100;Montreuil;48.85191, 2.42149;http://www.hetic.net;hetic;https://plus.google.com/+hetic;https://www.facebook.com/hetic.net
Market Place Factory;Market Place Factory propose aux e-commerçants et aux médias en ligne de faire décoller leurs revenus en créant pour eux une place de marché en marque blanche.;Entreprise;"marketplace;ecommerce";2010;29 rue du château;92200;Neuilly-sur-Seine;48.887218, 2.26308;http://www.marketplacefactory.com;MarketPlacef;;https://www.facebook.com/MarketPlaceFactory
MYPHOTOAGENCY;Première agence de photographes collaborative, Myphotoagency œuvre en faveur de l’émergence d’une communauté de nouveaux photographes grâce au soutien des Internautes.;Entreprise;"Photographe;Concours;Marketplace";2012;10-12 rue Richer;75009;PARIS;48.874077405, 2.346819932;http://www.myphotoagency.com;Myphotoagency_;https://plus.google.com/100425625565210880927;https://www.facebook.com/myphotoagency
Apach Network;Apach Network propose d'encoder, d'héberger et de diffuser en toute sécurité et dans un cadre légal, tout contenu audio/video en le rendant universellement accessible au travers des circuits de distribution traditionnelle.;Entreprise;"richmedia;diffusion;securite";;3 avenue du Canada;91940;Les Ulis;48.686092, 2.194073;http://www.apachnetwork.com;;;
Dieter Hougan;Dieter Hougan est une agence de création de vidéos dédiée aux startups.;Prestataire;;2013;46 rue Richer;75009;Paris;48.8726189283, 2.33562469482;http://www.dieter-hougan.com;;;https://www.facebook.com/DieterHougan
Cadlm;CADLM met en oeuvre des outils puissants et conviviaux pour la conception, le dimensionnement et l'optimisation.;Entreprise;ocds;1989;9 rue Raoul Dautry;91190;Gif-Sur-Yvette;48.6990327, 2.137414;http://www.cadlm.fr;;;
Studio Lumini;Lumini est un studio de production digitale pluridisciplinaire.;Prestataire;"pluridisciplainaire;digital;video";2004;6 passage de la fonderie;75011;Paris;48.866539, 2.3758;http://www.lumini.fr;lumini;;http://www.facebook.com/StudioLumini
Le Petit Ballon;"Le Petit Ballon ""Votre sommelier à la maison"" est le leader français du vin par abonnement : chaque mois découvrez 2 bouteilles de vin livrée à la maison, apprenez à les déguster en vidéo et bénéficiez des ventes privées pour les acheter à prix canon";Entreprise;;2011;43 rue du rocher;75008;;48.877804915, 2.320423004;http://www.lepetitballon.com;LPBallon;;https://www.facebook.com/lepetitballon
Stupeflix;Stupeflix est une application web et mobile qui permet de remixer photos, vidéos et musiques pour générer automatiquement des montages vidéos.;Entreprise;"video;mixmedia";2009;40 rue de Chateaudun;75009;Paris;48.876202, 2.33506;http://www.stupeflix.com;stupeflix;;https://www.facebook.com/Stupeflix
Declicmedia;Declicmedia opère des services web et mobile de création, personnalisation et d'impression de cartes et cadeaux.;Entreprise;"impression;personnalisation";2005;88 avenue des Ternes;75017;Paris;48.880211, 2.28738;http://www.declicmedia.com;declicmedia;;
ENSEA;L'Ecole Nationale Supérieure de l'Electronique et de ses Applications est une école d'ingénieurs généraliste en électronique.;École;"ingénieur;electronique";1941;6 avenue du Ponceau;95000;Cergy;49.038837, 2.071416;http://www.ensea.fr;;https://plus.google.com/117631646307508309984;https://www.facebook.com/pages/Ensea/111176525574157
Bulkypix;BulkyPix est un développeur et éditeur de divertissement digital qui propose des jeux pour PC et Mac et des applications interactives pour appareils mobiles (smartphones et tablettes tactiles).;Entreprise;"jeu;mobile;apps";2008;6 avenue de Sceaux;78000;Versailles;48.80059, 2.12622;http://www.bulkypix.com;Bulkypix;;https://www.facebook.com/Bulkypix
Myco2;MyCO2 aide les entreprises à devenir des leaders du développement durable, grâce à des solutions innovantes pour calculer, améliorer et communiquer leur information environnementale vers leurs clients.;Entreprise;;2010;chez StartWay 87 rue Gabriel Péri;92120;Montrouge;48.8195524, 2.3135726;http://www.myco2.com/MyCO2/A_propos.html;;;
KRDS;KRDS est une agence de marketing digital spécialisée sur Facebook.;Entreprise;"marketing;agence;facebook";2008;2 rue des Moulins;75001;Paris;48.866501, 2.33489;http://www.krds.fr;krds;;https://www.facebook.com/KRDS
Mediapart;Mediapart est un journal d'information numérique, indépendant et participatif.;Entreprise;"presseenligne;pureplayer;media";2008;8 passage Brûlon;75012;Paris;48.84967, 2.38001;http://www.mediapart.com;mediapart;;https://www.facebook.com/pages/Mediapart/116070051527
Kelaïdo;Kelaïdo lance Ciaofrom, une application mobile permettant à l'utilisateur de créer des photos immersives dans des sites historiques & touristiques.;Entreprise;;2013;17;Rue Clapeyron 75008 Paris;;48.881959646, 2.32376182;http://www.ciaofrom.com;;;
I Care Environnement;I Care Environnement est un cabinet de conseil et d’innovation : il allie des compétences en recherche, stratégie et performance opérationnelle appliquée aux enjeux environnementaux.;Entreprise;energie;2008;63 rue Soleillet, BL 63;75020;Paris;48.8657739, 2.3919405;http://www.i-care-environnement.com;;;
FRETBAY;Première plateforme web, française et européenne, qui met en relation les offres et les demandes de transport et de déménagement en favorisant le groupage et les retours à vide des camions. Lauréat trophée Or e-commerce et Graine de boss en 2012.;Entreprise;;2008;1 allée des rochers - 94000 Créteil;;;48.7661467594, 2.46797561646;https://fretbay.com/fr/;fretbay;;https://www.facebook.com/fan.fretbay
Linkility;Linkility est une application mobile qui permet de rentrer en contact avec les personnes autour de soi.;Entreprise;;2012;18 Rue Yves Toudic 75010 Paris;;;48.869810883, 2.363886862;http://www.linkility.com;Linkility;;http://www.facebook.com/Linkility
CapHorn Invest;Caphorn Invest est un fonds d'investissement et d'accompagnement qui a pour vocation d’accélérer le  développement commercial de jeunes PME à fort potentiel.;Investisseur;venturecapitalist;2009;32 avenue de l'Opéra;75002;Paris;48.868301, 2.33333;http://www.caphorninvest.fr;CapHornInvest;;
Wezzoo;Wezzoo est une application de météo sociale, locale et en temps réel.;Entreprise;"meteo;mobile";2011;44 rue Cauchy;94110;Arcueil;48.80363, 2.33381;http://www.wezzoo.com;wezzoo;;https://www.facebook.com/wezzoo
Dojocrea;Dojocrea est incubateur privé qui propose plusieurs lieux de coworking et d'incubation/accélération pour les startups.;Incubateur;"startups;hebergement;accelerateur";;24 rue Béranger;75003;Paris;48.866661, 2.36337;http://www.dojocrea.fr;Dojocrea;;https://www.facebook.com/DOJOCREA
Chugulu Games;Chugulu Games est une agence spécialisée en communication ludo-éducative et en divertissement digital qui fabrique des créations numériques pour le web et le mobile.;Prestataire;"communication;ludoeducatif";2006;64 rue Rambuteau;75003;Paris;48.86187, 2.35063;http://www.chugulu.biz;Chugulu;;https://www.facebook.com/chugulugames
Ilex;éditeur de solutions logicielles de Sécurité & Gestion des Identités;Entreprise;securite;1989;51 boulevard Voltaire;92600;Asnieres-Sur-Seine;48.914124, 2.294447;http://www.ilex.fr;;;
KTM Advance;KTM Advance propose des solutions de e-learning et serious gaming, à la croisée des sciences cognitives et des technologies du jeu vidéo.;Entreprise;"jeu;elearning;seriousgaming";1995;42 rue du Faubourg Poissonnière;75010;Paris;48.873871, 2.34791;http://www.ktm-advance.com;KTMAdvance;;https://www.facebook.com/KTMAdvance
Reciproque;Reciproque est une société de conseil et d'ingénierie multimédia pour les musées et les centres culturels.;Prestataire;"culture;multimedia";2006;12 rue Saint Maur;75011;Paris;48.85952, 2.38269;http://www.reciproque.com;reciproque;;https://www.facebook.com/reciproque.multimedia
Notocord Systems;Leader mondial en acquisition de données, d'analyse et de rapports;Entreprise;sante;1989;113 Chemin de Ronde;78290;Croissy-Sur-Seine;48.8892141, 2.1186381;http://www.notocord.com;;;
Paris Région Lab;Le Laboratoire Paris Région Innovation créé à l'initiative de la Ville de Paris et de la Région Ile-de-France a pour but d'encourager le déploiement de solutions innovantes in vivo in situ sur le territoire francilien.;Acteur public;"lab;innovation;invivoinsitu";;24 rue de l'Est;75020;Paris;48.871109, 2.393599;http://www.parisregionlab.com;innovcity;;
Carré Multimédia;Carré Multimédia est une agnce spécialisée dans le développement et l’édition de programmes multimédias éducatifs et culturels.;Entreprise;"agence;culture;education";1995;154  rue Oberkampf;75011;Paris;48.866692, 2.38167;http://www.carremultimedia.com;;;
Fbourboulon Conseil;Conseil en stratégies de contenus numériques.;Prestataire;;2013;5 rue d'Alger;75001;Paris;48.865189996, 2.329690002;https://www.vizify.com/francois-bourboulon/twitter-video;fbourboulon;https://plus.google.com/u/0/103445614081468990728/;https://www.facebook.com/pages/fbourboulon-Conseil/483155121705873?ref=hl
Youboox;Yooboox est une plateforme collaborative de diffusion en streaming de livres numériques sur internet et sur tablettes.;Entreprise;ebook;2011;26 rue du Chemin Vert;75011;Paris;48.858341, 2.3725;http://www.youboox.fr;youboox;;https://www.facebook.com/YoubooxOfficiel
Geensyde;"Geensyde « Global Embedded ENgineering -­‐ SYstem Design for Efficiency » est une société focalisée sur la mise en oeuvre d’une démarche d’ingénierie système globale pour la conception et le développement de systèmes embarqués critiques ""efficients"".";Entreprise;"energie;ocds";2010;7 rue Jean Mermoz, Bâtiment A;78000;Versailles;48.7967863, 2.1445656;http://www.geensyde.fr;;;
Groupe Serma;;Entreprise;;1970;5 parc ARIANE, Batiment NEPTUNE, boulevard des Chênes;78280;Guyancourt;48.7879249, 2.056279;http://www.serma-ingenierie.com;;;
Cloneo;CLONEO est une entreprise experte dans la mise à l'épreuve des systèmes de supervision.  Notre produit principal est la mise en oeuvre de plateformes virtuelles de contrôle commande.;Entreprise;;2011;16 avenue Kléber;92130;Issy-Les-Moulineaux;48.8260977, 2.2730517;;;;
Kelcode;Faciliter l'information des consommateurs sur une marque, les fidéliser et permettre aux industriels de recueillir des données sur leurs attentes,;Entreprise;telecoms;2000;75, avenue Parmentier;75011;Paris;48.8646068, 2.3749395;http://www.kelcode.com;;;
Backelite;Backelite est une agence spécialisée dans le design, la conception et le développement de services mobiles, tablettes et télévisions connectées.;Prestataire;"design;mobile;tvconnectee";2006;7 rue de Bucarest;75008;Paris;48.88068, 2.32629;http://www.backelite.com;AgenceBackelite;;https://www.facebook.com/pages/Agence-Backelite/211793522252484
Simpulse;Simpulse a pour ambition d'accélérer la conception des nouveaux systèmes de communication haut débit dans les domaines de la téléphonie mobile, de la télévision numérique, de l'internet sans fil et des communications sécurisées et spatiales.;Entreprise;telecoms;2011;13 rue Gambetta;91460;Marcoussis;48.6407547, 2.2204498;;;;
PROTO204;Le PROTO204 est une plateforme d’innovation, de création et de formation sur le campus Paris-Saclay qui accélère le croisement des communautés étudiants, chercheurs, entreprises et investisseur pour reconnecter innovations sociale et technologie.;Tiers-lieu;"coworking;showroom;hackerspace";2013;200 rue André Ampère;91440;Bures-sur-Yvette;48.6994301347, 2.16964960098;http://www.epps.fr/blog/project/proto-204/;PROTO204;;http://www.facebook.com/PROTO204
Dematis;Dematis conçoit et propose des solutions de dématérialisation de marchés publics accessibles via internet.;Entreprise;"marchespublics;dematerialisation";2003;30 boulevard Voltaire;75011;Paris;48.864311, 2.3692;http://www.e-marchespublics.com;Emarchespublics;;https://www.facebook.com/pages/E-Marchespublicscom-Les-march%C3%A9s-publics-et-appels-doffres/406416302799881
Innovation Factory;L’ Innovation Factory est le 1er campus-cluster français de l’innovation numérique : un lieu où start-ups et grandes marques, think tank,  investisseurs et labos de recherche se rassemblent autour d’un cœur étudiant la Web School Factory .;Incubateur;;2013;41 rue Chanzy;75011 Paris;;48.85310711, 2.38685391;http://www.innovationfcty.fr;innovationfcty;;
Le Petit FabLab de Paris;Le Petit FabLab de Paris est un atelier de fabrication numérique dédié aux projets collaboratifs de bien commun. Des horaires dédiés permettent, sur plusieurs mois, de pousser les projets le plus loin possible dans leur réalisation.;Tiers-lieu;;2013;156 rue oberkampf;75011;Paris;48.866819996, 2.382179997;http://www.lepetitfablabdeparis.fr;lpfablabparis;;https://www.facebook.com/LePetitFablabDeParis
DUI;Liée à 2 ministères, la Délégation aux Usages de l'Internet est chargée de diffuser les technologies de l’Internet auprès de l’ensemble des citoyens et d’accompagner les entreprises de l’Internet face aux mutations du réseau.;Acteur public;"delegation;usages;internet";2007;1 rue Descartes;75005;Paris;48.847229, 2.34855;http://www.delegation.internet.gouv.fr;netpublic;https://plus.google.com/101400531434532387710;https://www.facebook.com/NetPublic
IncubAlliance;IncubAlliance soutient, accueille et accompagne les projets de création d’entreprises innovantes associées à la recherche publique : du laboratoire au marché.;Incubateur;"hebergement;coaching;formation";;86 rue de Paris;91400;Orsay;48.696369, 2.1957;http://www.incuballiance.fr;;;
Izimobi;Izimobi est spécialisée dans le marketing direct sur téléphone mobile pour les points de vente.;Prestataire;"mobile;marketing";2009;74 rue Grande;77300;Fontainebleau;48.405788, 2.70192;http://www.izimobi.fr;izimobi;;https://www.facebook.com/izimobi.france
AlloCadeau;AlloCadeau est une conciergerie en ligne d'idées cadeaux.;Entreprise;"conciergerie;cadeaux";;65 avenue Ledru-Rollin;75012;Paris;48.849209, 2.37359;http://www.allocadeau.com;AlloCadeau;;https://www.facebook.com/AlloCadeau
small IZ beautiful;small IZ beautiful est le premier site de stage et d’emploi cadre dédié aux PME de croissance.;Entreprise;;2010;26 rue du chemin vert 75011;;;48.858313096, 2.372509196;http://www.smallizbeautiful.fr/;;;https://www.facebook.com/pages/small-iz-beautiful/210051580138
Elm Leblanc;Des technologies performantes pour réduire la consommation d'énergie en préservant l'environnement;Entreprise;energie;1954;124 rue de Stalingrad;93711;Drancy;48.9160121, 2.4247605;http://www.elmleblanc.fr/;;;
Urban Fabric Organization;UFO est une start-up issue du monde de l'architecture et de l'urbanisme qui utilise la culture digitale de l'open innovation et des jeux vidéos pour répondre aux enjeux humains et environnementaux d'une planète de plus en plus urbaine.;Entreprise;"urbanisme;jeu;openinnovation";2010;2 rue Marcelin Berthelot;93100;Montreuil;48.85658, 2.436768;http://www.urbanfab.org;@UFOrenk;;
Extende;EXTENDE apporte des solutions concrètes et efficientes en CND fondées sur la simulation et l’assistance technique.;Entreprise;ocds;2009;Le Bergson, 15 avenue Emile Baudot;91300;Massy;48.719804, 2.2632874;;;;
Attoma;Nous accompagnons l’innovation en concevant des services simples, efficaces et attractifs.;Entreprise;"Design;Services;Innovation";2001;25 rue Titon;75011;Paris;48.85241542, 2.386268762;http://www.attoma.eu;attoma_paris;;http://www.facebook.com/attoma
Strate College;Strate College est une école de design industriel qui forme notamment à la conception de systèmes et produits interactifs.;École;"designer;interactif";1993;27 avenue de la Division Leclerc;92310;Sèvres;48.823189, 2.22122;http://www.stratecollege.fr;stratecollege;;https://www.facebook.com/stratecollege
Feel;Feel est une application mobile qui permet, à vous et vos amis, de se souvenir et de découvrir des lieux en fonction des sentiments référencés sur une carte émotionnelle.;Entreprise;"mobile;emotion;geolocalisation";2012;18 rue Yves Toudic;75010;Paris;48.869789, 2.36385;http://www.feeltheapp.co;Feeltheapp;;https://www.facebook.com/feeltheapp
Pretty simple;Preety Simple développe des jeux sociaux pour Facebook.;Entreprise;"socialgame;facebook";2010;24 rue de l'Est;75020;Paris;48.871109, 2.393599;http://www.prettysimplegames.com;prttysmpl;;https://www.facebook.com/PrettySimpleGames
Henix;-Qualité logicielle et centre de service qualification\\n-Assistance à maitrise d'ouvrage dans les domaines de la santé et en banque/finance;Entreprise;opensource;1999;45, avenue Pierre Brossolette;92120;Montrouge;48.8211551, 2.3126583;http://www.henix.com;;;
Setics;"Setics est l’un des principaux cabinets français de conseil indépendants du secteur des télécommunications ; contribue significativement au développement du très haut débit (THD) en permettant à ses clients de prendre les meilleures décisions en matière d’infrastructures numériques.";Entreprise;;2000;7, rue Biscornet;75012;Paris;48.8499732, 2.3697692;http://setics.com/index.php;;;
SO Digital;Seine Ouest Digital est l'agence numérique de la communauté d'agglomération de Grand Paris Seine Ouest (Boulogne-Billancourt, Chaville, Issy-les-Moulineaux, Meudon, Sèvres, Vanves, Ville d'Avray).;Acteur public;;2013;2 avenue de Paris - 92190 Meudon;;;48.8726189283, 2.33562469482;http://seineouestdigital.fr;So_Digital;https://plus.google.com/b/101290230726716157528/101290230726716157528/about;https://www.facebook.com/SeineOuestDigital
Atentive Ads;Régie publicitaire en ligne spécialisée dans les publicaptcha. Membre de seineouestdigital.fr;Entreprise;publicaptcha;2011;22 rue du général leclerc;92130;issy les moulineaux;48.826009014, 2.277655293;http://www.attentiveads.com/;@attentiveads;;https://www.facebook.com/attentiveads
Dxo Silicon Group;DxO Labs offre des produits et des solutions garantes d'excellence en matière d’imagerie numérique.;Entreprise;ocds;2004;3 rue Nationale;92100;Boulogne-Billancourt;48.8243788, 2.244428;http://www.dxo.com;;;
Affordance;Agence de conseil en ergonomie et design vous apporte son expertise au travers d'une démarche de conception innovante basée sur l'étude du comportement de vos utilisateur et la créativité au service des usages de vos produits.\\n;Entreprise;securite;2008;20 rue de la fontaine du but;75018;Paris;48.8909932, 2.3396255;http://www.affordance.eu/;;;
MaPetiteVille;Service d'information de proximité sur smartphone. Membre de seineouestdigital.fr;Entreprise;"applis;agenda;ville";2009;47 rue Marcel Dassault;92100;Boulogne;48.835163254, 2.252239581;http://www.mapetiteville.fr;;;
UUPOST;UUPOST is a leader in Rich Communication technologies based on Next Generation of Network and SIP/IMS  standard including multiple media texte/audio/video) over any network internet, mobile;Entreprise;;2008;40 rue Albert de Mun;92600;Asnières-Sur-Seine;48.9209667, 2.2820479;http://www.uupost.com/;;;
Green Communications;Green-Communications commercialise des équipements de réseaux afin d’augmenter les débits et la qualité de service des communications tout en réduisant la consommation d’énergie.;Entreprise;telecoms;2010;86, rue de Paris;91400;Orsay;48.6962109, 2.1946309;http://www.green-communications.fr;;;
miLibris;miLibris est une plate-forme d'intermédiation entre fournisseurs de contenu et portails de vente et propose un service de diffusion et des outils logiciels conçus pour l'industrie du livre et de la presse.;Entreprise;"edition;distribution;ebook";2009;74 rue Blanche;75009;Paris;48.88171, 2.33165;http://www.milibris.com;miLibris;;
Intes France;Simulation numérique en calcul de structures et distribution Logiciel\\nINTES est spécialisée dans la simulation numérique par éléments finis. Elle édite et distribue le code de calcul de nouvelle génération PERMAS, et l'utilise pour ses services.;Entreprise;ocds;1996;40, rue Sadi Carnot;78120;Rambouillet;48.6482709, 1.8308515;http://www.intes.fr;;;
Parteja;Conseil et création numérique. Membre de seineouestdigital.fr;Entreprise;"agence;communication;web";2008;29, rue des Tilleuls;92100;Boulogne;48.844322644, 2.241443971;http://www.parteja.net/;parteja;;
